country,region,subregion,population,area,capital,currencies,languages,timezones,is_independent
Zimbabwe,Africa,unknown,17073087,,Harare,,,,
Kiribati,Oceania,unknown,120740,,South Tarawa,,,,
Ghana,Africa,unknown,33742380,,Accra,,,,
North Korea,Asia,unknown,25950000,,Pyongyang,,,,
Spain,Europe,unknown,49315949,,Madrid,,,,
Jordan,Asia,unknown,11734000,,Amman,,,,
San Marino,Europe,unknown,34132,,City of San Marino,,,,
Ivory Coast,Africa,unknown,31719275,,Yamoussoukro,,,,
Brazil,Americas,unknown,213421037,,Brasília,,,,
Colombia,Americas,unknown,53057212,,Bogotá,,,,
Heard Island and McDonald Islands,Antarctic,unknown,0,,,,,,
Dominica,Americas,unknown,67408,,Roseau,,,,
Djibouti,Africa,unknown,1066809,,Djibouti,,,,
Slovenia,Europe,unknown,2130638,,Ljubljana,,,,
Anguilla,Americas,unknown,16010,,The Valley,,,,
North Macedonia,Europe,unknown,1822612,,Skopje,,,,
Solomon Islands,Oceania,unknown,750325,,Honiara,,,,
Chad,Africa,unknown,19340757,,N'Djamena,,,,
Burundi,Africa,unknown,12332788,,Gitega,,,,
Italy,Europe,unknown,58927633,,Rome,,,,
Ethiopia,Africa,unknown,111652998,,Addis Ababa,,,,
Vietnam,Asia,unknown,101343800,,Hanoi,,,,
Togo,Africa,unknown,8095498,,Lomé,,,,
Martinique,Americas,unknown,349925,,Fort-de-France,,,,
Poland,Europe,unknown,37392000,,Warsaw,,,,
Portugal,Europe,unknown,10749635,,Lisbon,,,,
Christmas Island,Oceania,unknown,1692,,Flying Fish Cove,,,,
Israel,Asia,unknown,10134800,,Jerusalem,,,,
Argentina,Americas,unknown,46735004,,Buenos Aires,,,,
Afghanistan,Asia,unknown,43844000,,Kabul,,,,
Papua New Guinea,Oceania,unknown,11781559,,Port Moresby,,,,
New Zealand,Oceania,unknown,5324700,,Wellington,,,,
El Salvador,Americas,unknown,6029976,,San Salvador,,,,
Czechia,Europe,unknown,10882341,,Prague,,,,
Cameroon,Africa,unknown,29442327,,Yaoundé,,,,
Yemen,Asia,unknown,32684503,,Sana'a,,,,
Panama,Americas,unknown,4064780,,Panama City,,,,
Timor-Leste,Asia,unknown,1391221,,Dili,,,,
Cuba,Americas,unknown,9748007,,Havana,,,,
Russia,Europe,unknown,146028325,,Moscow,,,,
Antigua and Barbuda,Americas,unknown,103603,,Saint John's,,,,
Saint Barthélemy,Americas,unknown,10562,,Gustavia,,,,
Bolivia,Americas,unknown,11365333,,Sucre,,,,
Australia,Oceania,unknown,27536874,,Canberra,,,,
United States Minor Outlying Islands,Americas,unknown,0,,Washington DC,,,,
Fiji,Oceania,unknown,900869,,Suva,,,,
Myanmar,Asia,unknown,51316756,,Naypyidaw,,,,
São Tomé and Príncipe,Africa,unknown,209607,,São Tomé,,,,
Madagascar,Africa,unknown,31727042,,Antananarivo,,,,
Tuvalu,Oceania,unknown,10643,,Funafuti,,,,
Guernsey,Europe,unknown,64781,,St. Peter Port,,,,
Cocos (Keeling) Islands,Oceania,unknown,593,,West Island,,,,
Hungary,Europe,unknown,9539502,,Budapest,,,,
Egypt,Africa,unknown,107271260,,Cairo,,,,
Kyrgyzstan,Asia,unknown,7281800,,Bishkek,,,,
Indonesia,Asia,unknown,284438782,,Jakarta,,,,
Tunisia,Africa,unknown,11972169,,Tunis,,,,
American Samoa,Oceania,unknown,49710,,Pago Pago,,,,
Oman,Asia,unknown,5343630,,Muscat,,,,
French Polynesia,Oceania,unknown,279500,,Papeetē,,,,
United States,Americas,unknown,340110988,,"Washington, D.C.",,,,
Falkland Islands,Americas,unknown,3662,,Stanley,,,,
Saint Martin,Americas,unknown,31496,,Marigot,,,,
Suriname,Americas,unknown,616500,,Paramaribo,,,,
Azerbaijan,Asia,unknown,10241722,,Baku,,,,
Netherlands,Europe,unknown,18100436,,Amsterdam,,,,
Palestine,Asia,unknown,5483450,,Ramallah,,,,
Slovakia,Europe,unknown,5413813,,Bratislava,,,,
Uganda,Africa,unknown,45905417,,Kampala,,,,
Cayman Islands,Americas,unknown,84738,,George Town,,,,
Saint Lucia,Americas,unknown,184100,,Castries,,,,
Libya,Africa,unknown,7459000,,Tripoli,,,,
Northern Mariana Islands,Oceania,unknown,47329,,Saipan,,,,
Armenia,Asia,unknown,3076200,,Yerevan,,,,
Comoros,Africa,unknown,919901,,Moroni,,,,
Guyana,Americas,unknown,772975,,Georgetown,,,,
United Arab Emirates,Asia,unknown,11294243,,Abu Dhabi,,,,
Turkey,Asia,unknown,85664944,,Ankara,,,,
Samoa,Oceania,unknown,205557,,Apia,,,,
Germany,Europe,unknown,83491249,,Berlin,,,,
Gambia,Africa,unknown,2422712,,Banjul,,,,
Mongolia,Asia,unknown,3544835,,Ulan Bator,,,,
Serbia,Europe,unknown,6567783,,Belgrade,,,,
China,Asia,unknown,1408280000,,Beijing,,,,
Montenegro,Europe,unknown,623327,,Podgorica,,,,
Guam,Oceania,unknown,153836,,Hagåtña,,,,
Cambodia,Asia,unknown,17577760,,Phnom Penh,,,,
Liechtenstein,Europe,unknown,40900,,Vaduz,,,,
Senegal,Africa,unknown,18593258,,Dakar,,,,
United Kingdom,Europe,unknown,69281437,,London,,,,
Caribbean Netherlands,Americas,unknown,31980,,Kralendijk,,,,
French Guiana,Americas,unknown,292354,,Cayenne,,,,
Burkina Faso,Africa,unknown,24070553,,Ouagadougou,,,,
Qatar,Asia,unknown,3173024,,Doha,,,,
Ukraine,Europe,unknown,32862000,,Kyiv,,,,
Mexico,Americas,unknown,130575786,,Mexico City,,,,
Isle of Man,Europe,unknown,84530,,Douglas,,,,
Antarctica,Antarctic,unknown,1300,,,,,,
South Georgia,Antarctic,unknown,0,,King Edward Point,,,,
Western Sahara,Africa,unknown,600904,,El Aaiún,,,,
Turks and Caicos Islands,Americas,unknown,50828,,Cockburn Town,,,,
Albania,Europe,unknown,2363314,,Tirana,,,,
Cyprus,Europe,unknown,1442614,,Nicosia,,,,
Guatemala,Americas,unknown,18079810,,Guatemala City,,,,
Nauru,Oceania,unknown,11680,,Yaren,,,,
"Saint Helena, Ascension and Tristan da Cunha",Africa,unknown,5651,,Jamestown,,,,
Latvia,Europe,unknown,1829000,,Riga,,,,
Cook Islands,Oceania,unknown,15040,,Avarua,,,,
Malta,Europe,unknown,574250,,Valletta,,,,
Pitcairn Islands,Oceania,unknown,35,,Adamstown,,,,
South Korea,Asia,unknown,51159889,,Seoul,,,,
New Caledonia,Oceania,unknown,264596,,Nouméa,,,,
Mozambique,Africa,unknown,34090466,,Maputo,,,,
Luxembourg,Europe,unknown,681973,,Luxembourg,,,,
Ireland,Europe,unknown,5458600,,Dublin,,,,
Nigeria,Africa,unknown,223800000,,Abuja,,,,
Bahamas,Americas,unknown,398165,,Nassau,,,,
Marshall Islands,Oceania,unknown,42418,,Majuro,,,,
Greece,Europe,unknown,10400720,,Athens,,,,
Maldives,Asia,unknown,515132,,Malé,,,,
Niue,Oceania,unknown,1681,,Alofi,,,,
Syria,Asia,unknown,25620000,,Damascus,,,,
Ecuador,Americas,unknown,18103660,,Quito,,,,
Turkmenistan,Asia,unknown,7057841,,Ashgabat,,,,
Wallis and Futuna,Oceania,unknown,11620,,Mata-Utu,,,,
Brunei,Asia,unknown,455500,,Bandar Seri Begawan,,,,
Uzbekistan,Asia,unknown,37859698,,Tashkent,,,,
Bahrain,Asia,unknown,1594654,,Manama,,,,
British Virgin Islands,Americas,unknown,39471,,Road Town,,,,
Moldova,Europe,unknown,2749076,,Chișinău,,,,
Mauritius,Africa,unknown,1243741,,Port Louis,,,,
Tonga,Oceania,unknown,100179,,Nuku'alofa,,,,
Seychelles,Africa,unknown,122729,,Victoria,,,,
Angola,Africa,unknown,36170961,,Luanda,,,,
Estonia,Europe,unknown,1369995,,Tallinn,,,,
Bermuda,Americas,unknown,64055,,Hamilton,,,,
Philippines,Asia,unknown,114123600,,Manila,,,,
Vatican City,Europe,unknown,882,,Vatican City,,,,
Venezuela,Americas,unknown,28517000,,Caracas,,,,
Barbados,Americas,unknown,267800,,Bridgetown,,,,
India,Asia,unknown,1417492000,,New Delhi,,,,
Mali,Africa,unknown,22395489,,Bamako,,,,
Norfolk Island,Oceania,unknown,2188,,Kingston,,,,
Belarus,Europe,unknown,9109280,,Minsk,,,,
Saint Kitts and Nevis,Americas,unknown,51320,,Basseterre,,,,
Guadeloupe,Americas,unknown,378561,,Basse-Terre,,,,
Lithuania,Europe,unknown,2894886,,Vilnius,,,,
Montserrat,Americas,unknown,4386,,Plymouth,,,,
Niger,Africa,unknown,26312034,,Niamey,,,,
Equatorial Guinea,Africa,unknown,1668768,,Ciudad de la Paz,,,,
Iraq,Asia,unknown,46118793,,Baghdad,,,,
Mauritania,Africa,unknown,4927532,,Nouakchott,,,,
Taiwan,Asia,unknown,23317031,,Taipei,,,,
Georgia,Asia,unknown,4000921,,Tbilisi,,,,
Puerto Rico,Americas,unknown,3203295,,San Juan,,,,
Paraguay,Americas,unknown,6109644,,Asunción,,,,
Sierra Leone,Africa,unknown,9077691,,Freetown,,,,
Botswana,Africa,unknown,2359609,,Gaborone,,,,
Mayotte,Africa,unknown,320901,,Mamoudzou,,,,
Finland,Europe,unknown,5650325,,Helsinki,,,,
Jersey,Europe,unknown,103267,,Saint Helier,,,,
Faroe Islands,Europe,unknown,54885,,Tórshavn,,,,
Sweden,Europe,unknown,10605098,,Stockholm,,,,
Sri Lanka,Asia,unknown,21763170,,Sri Jayawardenepura Kotte,,,,
Thailand,Asia,unknown,65859640,,Bangkok,,,,
Greenland,Americas,unknown,56542,,Nuuk,,,,
Bulgaria,Europe,unknown,6437360,,Sofia,,,,
Kenya,Africa,unknown,53330978,,Nairobi,,,,
Hong Kong,Asia,unknown,7527500,,City of Victoria,,,,
Romania,Europe,unknown,19036031,,Bucharest,,,,
Malawi,Africa,unknown,20734262,,Lilongwe,,,,
Republic of the Congo,Africa,unknown,6142180,,Brazzaville,,,,
Honduras,Americas,unknown,9892632,,Tegucigalpa,,,,
Aruba,Americas,unknown,107566,,Oranjestad,,,,
Monaco,Europe,unknown,38423,,Monaco,,,,
Bouvet Island,Antarctic,unknown,0,,,,,,
Zambia,Africa,unknown,19693423,,Lusaka,,,,
Andorra,Europe,unknown,88406,,Andorra la Vella,,,,
Liberia,Africa,unknown,5248621,,Monrovia,,,,
Tanzania,Africa,unknown,68153004,,Dodoma,,,,
Saint Pierre and Miquelon,Americas,unknown,5819,,Saint-Pierre,,,,
Iran,Asia,unknown,85961000,,Tehran,,,,
Iceland,Europe,unknown,391810,,Reykjavik,,,,
Guinea,Africa,unknown,14363931,,Conakry,,,,
Svalbard and Jan Mayen,Europe,unknown,2530,,Longyearbyen,,,,
Kuwait,Asia,unknown,4881254,,Kuwait City,,,,
Morocco,Africa,unknown,36828330,,Rabat,,,,
Namibia,Africa,unknown,3022401,,Windhoek,,,,
Tajikistan,Asia,unknown,10499000,,Dushanbe,,,,
Vanuatu,Oceania,unknown,321409,,Port Vila,,,,
Jamaica,Americas,unknown,2825544,,Kingston,,,,
Palau,Oceania,unknown,16733,,Ngerulmud,,,,
Uruguay,Americas,unknown,3499451,,Montevideo,,,,
Bhutan,Asia,unknown,784043,,Thimphu,,,,
DR Congo,Africa,unknown,112832000,,Kinshasa,,,,
Kazakhstan,Asia,unknown,20426568,,Astana,,,,
Eritrea,Africa,unknown,3607000,,Asmara,,,,
Gibraltar,Europe,unknown,38000,,Gibraltar,,,,
Gabon,Africa,unknown,2469296,,Libreville,,,,
Peru,Americas,unknown,34350244,,Lima,,,,
Denmark,Europe,unknown,6011488,,Copenhagen,,,,
Croatia,Europe,unknown,3866233,,Zagreb,,,,
Curaçao,Americas,unknown,156115,,Willemstad,,,,
British Indian Ocean Territory,Africa,unknown,0,,Diego Garcia,,,,
Norway,Europe,unknown,5606944,,Oslo,,,,
Lesotho,Africa,unknown,2116427,,Maseru,,,,
Austria,Europe,unknown,9200931,,Vienna,,,,
Switzerland,Europe,unknown,9082848,,Bern,,,,
Belize,Americas,unknown,417634,,Belmopan,,,,
Belgium,Europe,unknown,11825551,,Brussels,,,,
Nicaragua,Americas,unknown,6803886,,Managua,,,,
United States Virgin Islands,Americas,unknown,87146,,Charlotte Amalie,,,,
Singapore,Asia,unknown,6110200,,Singapore,,,,
Dominican Republic,Americas,unknown,10771504,,Santo Domingo,,,,
Kosovo,Europe,unknown,1585566,,Pristina,,,,
Laos,Asia,unknown,7647000,,Vientiane,,,,
Chile,Americas,unknown,20206953,,Santiago,,,,
Costa Rica,Americas,unknown,5309625,,San José,,,,
Rwanda,Africa,unknown,14104969,,Kigali,,,,
Trinidad and Tobago,Americas,unknown,1367764,,Port of Spain,,,,
Malaysia,Asia,unknown,34231700,,Kuala Lumpur,,,,
South Africa,Africa,unknown,63100945,,Pretoria,,,,
Saudi Arabia,Asia,unknown,35300280,,Riyadh,,,,
Haiti,Americas,unknown,11867032,,Port-au-Prince,,,,
French Southern and Antarctic Lands,Antarctic,unknown,400,,Port-aux-Français,,,,
Tokelau,Oceania,unknown,2608,,Fakaofo,,,,
Somalia,Africa,unknown,19655000,,Mogadishu,,,,
Japan,Asia,unknown,123210000,,Tokyo,,,,
Macau,Asia,unknown,685900,,,,,,
Sudan,Africa,unknown,51662000,,Khartoum,,,,
Algeria,Africa,unknown,47400000,,Algiers,,,,
Eswatini,Africa,unknown,1235549,,Mbabane,,,,
France,Europe,unknown,66351959,,Paris,,,,
Sint Maarten,Americas,unknown,41349,,Philipsburg,,,,
Bangladesh,Asia,unknown,169828911,,Dhaka,,,,
Central African Republic,Africa,unknown,6470307,,Bangui,,,,
Canada,Americas,unknown,41651653,,Ottawa,,,,
Réunion,Africa,unknown,896175,,Saint-Denis,,,,
Saint Vincent and the Grenadines,Americas,unknown,110872,,Kingstown,,,,
Micronesia,Oceania,unknown,105564,,Palikir,,,,
Cape Verde,Africa,unknown,491233,,Praia,,,,
Grenada,Americas,unknown,109021,,St. George's,,,,
Pakistan,Asia,unknown,241499431,,Islamabad,,,,
Nepal,Asia,unknown,29911840,,Kathmandu,,,,
Bosnia and Herzegovina,Europe,unknown,3422000,,Sarajevo,,,,
South Sudan,Africa,unknown,15786898,,Juba,,,,
Guinea-Bissau,Africa,unknown,1781308,,Bissau,,,,
Benin,Africa,unknown,13224860,,Porto-Novo,,,,
Lebanon,Asia,unknown,5490000,,Beirut,,,,
Åland Islands,Europe,unknown,30654,,Mariehamn,,,,
